Item,Type,DistNum,TargetNum,Context,Target,Surprisal
1,Verbal,SG,SG,The tall nurse who cared for the elderly widow definitely {} reluctant to work long shifts.,was,2.8606666160939627
1,Verbal,SG,PL,The tall nurse who cared for the elderly widow definitely {} reluctant to work long shifts.,were,11.301890331272554
1,Verbal,PL,SG,The tall nurse who cared for the elderly widows definitely {} reluctant to work long shifts.,was,2.717524912291618
1,Verbal,PL,PL,The tall nurse who cared for the elderly widows definitely {} reluctant to work long shifts.,were,10.97652802590097
1,Reflexive,SG,SG,The tall nurse who cared for the elderly widow definitely pricked {} with a used syringe.,herself,8.304519992674784
1,Reflexive,SG,PL,The tall nurse who cared for the elderly widow definitely pricked {} with a used syringe.,themselves,12.575599172948113
1,Reflexive,PL,SG,The tall nurse who cared for the elderly widows definitely pricked {} with a used syringe.,herself,7.918118235557487
1,Reflexive,PL,PL,The tall nurse who cared for the elderly widows definitely pricked {} with a used syringe.,themselves,11.015425953675843
2,Verbal,SG,SG,The legendary diva who sang with the graceful harpist clearly {} flawless on the high notes.,was,2.2107988138378327
2,Verbal,SG,PL,The legendary diva who sang with the graceful harpist clearly {} flawless on the high notes.,were,8.723380724636566
2,Verbal,PL,SG,The legendary diva who sang with the graceful harpists clearly {} flawless on the high notes.,was,1.815920095745699
2,Verbal,PL,PL,The legendary diva who sang with the graceful harpists clearly {} flawless on the high notes.,were,7.269866885328257
2,Reflexive,SG,SG,The legendary diva who sang with the graceful harpist clearly presented {} with lots of fanfare.,herself,2.532468079803508
2,Reflexive,SG,PL,The legendary diva who sang with the graceful harpist clearly presented {} with lots of fanfare.,themselves,7.446769967958509
2,Reflexive,PL,SG,The legendary diva who sang with the graceful harpists clearly presented {} with lots of fanfare.,herself,2.7749514682596246
2,Reflexive,PL,PL,The legendary diva who sang with the graceful harpists clearly presented {} with lots of fanfare.,themselves,6.743029616221012
3,Verbal,SG,SG,The nice beautician who advised the beauty queen probably {} happy about having more business.,was,0.3096254448901746
3,Verbal,SG,PL,The nice beautician who advised the beauty queen probably {} happy about having more business.,were,9.69594048399536
3,Verbal,PL,SG,The nice beautician who advised the beauty queens probably {} happy about having more business.,was,0.24647197946352328
3,Verbal,PL,PL,The nice beautician who advised the beauty queens probably {} happy about having more business.,were,9.589164000492369
3,Reflexive,SG,SG,The nice beautician who advised the beauty queen probably dabbed {} with imported French perfume.,herself,3.865447399853071
3,Reflexive,SG,PL,The nice beautician who advised the beauty queen probably dabbed {} with imported French perfume.,themselves,8.920763289253749
3,Reflexive,PL,SG,The nice beautician who advised the beauty queens probably dabbed {} with imported French perfume.,herself,4.302036203655586
3,Reflexive,PL,PL,The nice beautician who advised the beauty queens probably dabbed {} with imported French perfume.,themselves,7.289958945140948
4,Verbal,SG,SG,The talented hairdresser who worked with the friendly manicurist obviously {} popular with the regular customers.,was,0.6148522205285527
4,Verbal,SG,PL,The talented hairdresser who worked with the friendly manicurist obviously {} popular with the regular customers.,were,9.066195274063144
4,Verbal,PL,SG,The talented hairdresser who worked with the friendly manicurists obviously {} popular with the regular customers.,was,0.5551112414303523
4,Verbal,PL,PL,The talented hairdresser who worked with the friendly manicurists obviously {} popular with the regular customers.,were,7.421071326698639
4,Reflexive,SG,SG,The talented hairdresser who worked with the friendly manicurist obviously cut {} with some rusty scissors.,herself,5.26341464078452
4,Reflexive,SG,PL,The talented hairdresser who worked with the friendly manicurist obviously cut {} with some rusty scissors.,themselves,10.365458900014321
4,Reflexive,PL,SG,The talented hairdresser who worked with the friendly manicurists obviously cut {} with some rusty scissors.,herself,5.313712787146841
4,Reflexive,PL,PL,The talented hairdresser who worked with the friendly manicurists obviously cut {} with some rusty scissors.,themselves,9.096148486721193
5,Verbal,SG,SG,The artsy florist who helped the elegant designer unfortunately {} distraught over an upcoming funeral.,was,4.903349661966999
5,Verbal,SG,PL,The artsy florist who helped the elegant designer unfortunately {} distraught over an upcoming funeral.,were,14.501676542400045
5,Verbal,PL,SG,The artsy florist who helped the elegant designers unfortunately {} distraught over an upcoming funeral.,was,3.5280036062158295
5,Verbal,PL,PL,The artsy florist who helped the elegant designers unfortunately {} distraught over an upcoming funeral.,were,13.34558237780392
5,Reflexive,SG,SG,The artsy florist who helped the elegant designer unfortunately nicked {} on a rose thorn.,herself,3.757172321031722
5,Reflexive,SG,PL,The artsy florist who helped the elegant designer unfortunately nicked {} on a rose thorn.,themselves,11.742681797348807
5,Reflexive,PL,SG,The artsy florist who helped the elegant designers unfortunately nicked {} on a rose thorn.,herself,3.504606787565126
5,Reflexive,PL,PL,The artsy florist who helped the elegant designers unfortunately nicked {} on a rose thorn.,themselves,11.647117902703796
6,Verbal,SG,SG,The nimble gymnast who studied with the female coach certainly {} unable to make a graceful landing.,was,0.7161678224878886
6,Verbal,SG,PL,The nimble gymnast who studied with the female coach certainly {} unable to make a graceful landing.,were,10.12845774168438
6,Verbal,PL,SG,The nimble gymnast who studied with the female coaches certainly {} unable to make a graceful landing.,was,0.4426077025270123
6,Verbal,PL,PL,The nimble gymnast who studied with the female coaches certainly {} unable to make a graceful landing.,were,9.286270745405343
6,Reflexive,SG,SG,The nimble gymnast who studied with the female coach certainly bruised {} on the uneven bars.,herself,6.894737906449088
6,Reflexive,SG,PL,The nimble gymnast who studied with the female coach certainly bruised {} on the uneven bars.,themselves,11.532790752370943
6,Reflexive,PL,SG,The nimble gymnast who studied with the female coaches certainly bruised {} on the uneven bars.,herself,7.3280492193439315
6,Reflexive,PL,PL,The nimble gymnast who studied with the female coaches certainly bruised {} on the uneven bars.,themselves,10.670198461952685
7,Verbal,SG,SG,The midwife who attended to the expectant mothers probably {} committed promoting natural childbirth.,was,0.5161741382463888
7,Verbal,SG,PL,The midwife who attended to the expectant mother probably {} committed to promoting natural childbirth.,were,7.856447848417735
7,Verbal,PL,SG,The midwife who attended to the expectant mothers probably {} committed to promoting natural childbirth.,was,0.23272741450607293
7,Verbal,PL,PL,The midwife who attended to the expectant mothers probably {} committed to promoting natural childbirth.,were,6.734571376311509
7,Reflexive,SG,SG,The midwife who attended to the expectant mother probably supported {} with private childbirth consultations.,herself,4.195277732062062
7,Reflexive,SG,PL,The midwife who attended to the expectant mother probably supported {} with private childbirth consultations.,themselves,8.691945718764565
7,Reflexive,PL,SG,The midwife who attended to the expectant mothers probably supported {} with private childbirth consultations.,herself,6.413836528492426
7,Reflexive,PL,PL,The midwife who attended to the expectant mothers probably supported {} with private childbirth consultations.,themselves,7.0784297897270045
8,Verbal,SG,SG,The new mother who interviewed the teenage babysitters definitely {} careful careful to do a full background check.,was,1.1357612310905838
